squaremeters,numberofrooms,hasyard,haspool,floors,citycode,citypartrange,numprevowners,made,isnewbuilt,hasstormprotector,basement,attic,garage,hasstorageroom,hasguestroom,price,hasyard_num,squaremeters_hasyard,squaremeters_numberofrooms,haspool_num,squaremeters_haspool,squaremeters_citycode,citypartrange_num,squaremeters_citypartrange,numprevowners_num,squaremeters_numprevowners,squaremeters_made,isnewbuilt_num,squaremeters_isnewbuilt,hasstormprotector_num,squaremeters_hasstormprotector,squaremeters_basement,squaremeters_attic,squaremeters_garage,hasstorageroom_num,squaremeters_hasstorageroom,hasguestroom_num,squaremeters_hasguestroom,squaremeters_squared,numberofrooms_squared,squaremeters_bin,numprevowners_bin,avg_price_citypart,avg_size_rooms,price_per_sqm,rooms_per_floor
66569,59,1,1,56,15574,7,9,2016,1,1,2020,7188,269,1,10,6667802.6,1,66569,3927571,1,66569,1036745606,6,399414,8,532552,134203104,1,66569,1,66569,134469380,478497972,17907061,1,66569,10,665690,4431431761,3481,large,many,5069664.609451219,47698.41176470588,100.16377893614144,1.0535714285714286
84559,29,0,1,69,53057,7,7,2000,1,0,3573,9556,918,1,8,8460604.0,0,0,2452211,1,84559,4486446863,6,507354,6,507354,169118000,1,84559,0,0,302129307,808045804,77625162,1,84559,8,676472,7150224481,841,xlarge,many,5069664.609451219,50130.12359550562,100.0556297969465,0.42028985507246375
28749,39,0,1,53,80821,6,5,1996,1,0,8113,2352,982,1,3,2877997.6,0,0,1121211,1,28749,2323522929,5,143745,4,114996,57383004,1,28749,0,0,233240637,67617648,28231518,1,28749,3,86247,826505001,1521,medium,moderate,4990101.053989638,45618.045454545456,100.10774635639501,0.7358490566037735
76091,38,1,0,32,59451,5,8,2016,1,0,8150,6037,930,0,7,7614076.6,1,76091,2891458,0,0,4523686041,4,304364,7,532637,153399456,1,76091,0,0,620141650,459361367,70764630,0,0,7,532637,5789840281,1444,xlarge,many,5059792.208050436,53917.017857142855,100.06540326714065,1.1875
92696,49,1,0,38,74381,9,2,2021,0,0,1559,5111,957,1,2,9272740.1,1,92696,4542104,0,0,6894821176,8,741568,1,92696,187338616,0,0,0,0,144513064,473769256,88710072,1,92696,2,185392,8592548416,2401,xlarge,few,4954626.623069207,48992.79381443299,100.0338752481229,1.2894736842105263
46988,66,1,1,27,4863,9,10,1991,1,1,8339,6331,874,1,4,4707341.1,1,46988,3101208,1,46988,228502644,8,375904,9,422892,93553108,1,46988,1,46988,391832932,297481028,41067512,1,46988,4,187952,2207872144,4356,medium,many,4954626.623069207,49749.943181818184,100.18177194177235,2.4444444444444446
48062,22,0,1,4,28104,1,10,2008,1,0,7908,552,817,1,1,4809993.8,0,0,1057364,1,48062,1350734448,0,0,9,432558,96508496,1,48062,0,0,380074296,26530224,39266654,1,48062,1,48062,2309955844,484,medium,many,4903580.0811871225,53087.0,100.0789355415921,5.5
5767,97,1,1,11,44551,7,3,1998,1,0,2516,5601,307,1,4,586742.8,1,5767,559399,1,5767,256925617,6,34602,2,11534,11522466,1,5767,0,0,14509772,32300967,1770469,1,5767,4,23068,33258289,9409,small,moderate,5069664.609451219,47977.98165137615,101.74142535113577,8.818181818181818
59800,47,0,1,27,44815,6,9,2021,0,0,5075,3104,864,0,4,5984462.1,0,0,2810600,1,59800,2679937000,5,299000,8,478400,120855800,0,0,0,0,303485000,185619200,51667200,0,0,4,239200,3576040000,2209,large,many,4990101.053989638,50755.84745762712,100.07461705685618,1.7407407407407407
54836,25,0,1,53,64601,10,5,2020,1,0,5278,1059,313,1,6,5492532.0,0,0,1370900,1,54836,3542460436,9,493524,4,219344,110768720,1,54836,0,0,289424408,58071324,17163668,1,54836,6,329016,3006986896,625,large,moderate,4978566.710358566,46283.2,100.16288569552849,0.4716981132075472
54318,10,1,1,52,76737,4,2,1998,1,1,9580,3787,227,1,1,5444967.8,1,54318,543180,1,54318,4168200366,3,162954,1,54318,108527364,1,54318,1,54318,520366440,205702266,12330186,1,54318,1,54318,2950445124,100,large,few,4932944.709190809,50025.61320754717,100.24242056040354,0.19230769230769232
70021,52,1,0,28,95678,4,6,1992,0,1,4480,6919,680,1,1,7005572.2,1,70021,3641092,0,0,6699469238,3,210063,5,350105,139481832,0,0,1,70021,313694080,484475299,47614280,1,70021,1,70021,4902940441,2704,large,many,4932944.709190809,52544.26373626374,100.04958798074864,1.8571428571428572
54368,11,1,1,20,55761,3,7,2021,0,0,231,1939,223,0,8,5446398.1,1,54368,598048,1,54368,3031614048,2,108736,6,326208,109877728,0,0,0,0,12559008,105419552,12124064,0,0,8,434944,2955879424,121,large,many,5026028.922322322,48990.29069767442,100.17653950853442,0.55
31421,29,0,1,68,67505,5,3,1999,1,1,8949,2080,630,0,5,3147829.9,0,0,911209,1,31421,2121074605,4,125684,2,62842,62810579,1,31421,1,31421,281186529,65355680,19795230,0,0,5,157105,987279241,841,medium,moderate,5059792.208050436,50130.12359550562,100.18235893192451,0.4264705882352941
63053,6,1,1,28,45312,3,1,1997,0,1,8414,6270,939,1,8,6315375.7,1,63053,378318,1,63053,2857057536,2,126106,0,0,125916841,0,0,1,63053,530527942,395342310,59206767,1,63053,8,504424,3975680809,36,large,few,5026028.922322322,50398.18823529412,100.1597973133713,0.21428571428571427
4187,89,0,1,17,7488,1,6,1994,1,0,186,2627,559,1,2,421906.4,0,0,372643,1,4187,31352256,0,0,5,20935,8348878,1,4187,0,0,778782,10999249,2340533,1,4187,2,8374,17530969,7921,small,many,4903580.0811871225,54611.11111111111,100.76579890136136,5.235294117647059
33108,82,0,1,83,52015,6,10,2016,1,0,6250,8751,552,1,2,3316069.6,0,0,2714856,1,33108,1722112620,5,165540,9,297972,66745728,1,33108,0,0,206925000,289728108,18275616,1,33108,2,66216,1096139664,6724,medium,many,4990101.053989638,50514.53488372093,100.15916394829044,0.9879518072289156
64393,8,0,0,51,95335,4,1,1990,1,0,3835,2403,559,0,6,6441378.0,0,0,515144,0,0,6138906655,3,193179,0,0,128142070,1,64393,0,0,246947155,154736379,35995687,0,0,6,386358,4146458449,64,large,few,4932944.709190809,48524.20952380952,100.032270588418,0.1568627450980392
93876,60,0,1,70,5484,2,1,1999,1,1,4086,5991,494,1,8,9390891.9,0,0,5632560,1,93876,514815984,1,93876,0,0,187658124,1,93876,1,93876,383577336,562411116,46374744,1,93876,8,751008,8812703376,3600,xlarge,few,4931873.412525252,54909.31304347826,100.03506647066344,0.8571428571428571
67040,60,1,1,22,1690,4,8,1993,1,0,4817,5222,927,0,0,6714247.3,1,67040,4022400,1,67040,113297600,3,201120,7,469280,133610720,1,67040,0,0,322931680,350082880,62146080,0,0,0,0,4494361600,3600,large,many,4932944.709190809,54909.31304347826,100.1528535202864,2.727272727272727
47938,17,0,0,68,64247,7,1,2013,0,1,327,209,352,1,8,4797883.3,0,0,814946,0,0,3079872686,6,287628,0,0,96499194,0,0,1,47938,15675726,10019042,16874176,1,47938,8,383504,2298051844,289,medium,few,5069664.609451219,45905.11235955056,100.08517877258124,0.25
39090,57,1,0,74,2922,4,9,2010,0,0,3572,8722,811,1,6,3917691.0,1,39090,2228130,0,0,114220980,3,117270,8,312720,78570900,0,0,0,0,139629480,340942980,31701990,1,39090,6,234540,1528028100,3249,medium,many,4932944.709190809,45919.9898989899,100.22233307751343,0.7702702702702703
43609,66,0,0,55,6739,4,9,2005,0,1,3388,2353,120,1,7,4364910.5,0,0,2878194,0,0,293881051,3,130827,8,348872,87436045,0,0,1,43609,147747292,102611977,5233080,1,43609,7,305263,1901744881,4356,medium,many,4932944.709190809,49749.943181818184,100.09196496136119,1.2
41998,74,1,0,17,32039,6,1,1990,1,0,6838,4925,828,0,9,4203344.0,1,41998,3107852,0,0,1345573922,5,209990,0,0,83576020,1,41998,0,0,287182324,206840150,34774344,0,0,9,377982,1763832004,5476,medium,few,4990101.053989638,53212.93518518518,100.08438497071289,4.352941176470588
36496,9,0,1,47,51526,5,1,2017,0,1,2768,6291,230,1,0,3656368.7,0,0,328464,1,36496,1880492896,4,145984,0,0,73612432,0,0,1,36496,101020928,229596336,8394080,1,36496,0,0,1331958016,81,medium,few,5059792.208050436,45551.706666666665,100.18546416045595,0.19148936170212766
84016,15,1,0,55,63595,1,7,2016,1,0,3284,9879,641,0,2,8410054.6,1,84016,1260240,0,0,5342997520,0,0,6,504096,169376256,1,84016,0,0,275908544,829994064,53854256,0,0,2,168032,7058688256,225,xlarge,many,4903580.0811871225,50661.854545454546,100.10063083222244,0.2727272727272727
3087,27,1,1,94,9283,3,10,2005,1,1,5866,3557,199,1,1,321717.5,1,3087,83349,1,3087,28656621,2,6174,9,27783,6189435,1,3087,1,3087,18108342,10980459,614313,1,3087,1,3087,9529569,729,small,many,5026028.922322322,51485.321100917434,104.21687722708131,0.2872340425531915
89768,48,1,1,17,71000,6,9,1993,0,1,2485,108,864,0,7,8980518.3,1,89768,4308864,1,89768,6373528000,5,448840,8,718144,178907624,0,0,1,89768,223073480,9694944,77559552,0,0,7,628376,8058293824,2304,xlarge,many,4990101.053989638,51258.17346938775,100.04142121914269,2.823529411764706
30226,74,1,1,87,71053,10,9,2007,0,0,515,13,223,0,4,3039243.7,1,30226,2236724,1,30226,2147647978,9,272034,8,241808,60663582,0,0,0,0,15566390,392938,6740398,0,0,4,120904,913611076,5476,medium,many,4978566.710358566,53212.93518518518,100.55064183153577,0.8505747126436781
58478,5,0,1,35,5898,6,10,2016,0,0,8366,4799,979,1,7,5853710.6,0,0,292390,1,58478,344903244,5,292390,9,526302,117891648,0,0,0,0,489226948,280635922,57249962,1,58478,7,409346,3419676484,25,large,many,4990101.053989638,47131.1914893617,100.10107390813639,0.14285714285714285
66621,48,0,0,89,52165,10,1,1995,1,1,5024,8103,388,1,4,6666403.5,0,0,3197808,0,0,3475284465,9,599589,0,0,132908895,1,66621,1,66621,334703904,539829963,25848948,1,66621,4,266484,4438357641,2304,large,few,4978566.710358566,51258.17346938775,100.06459674877291,0.5393258426966292
73314,43,0,1,38,49895,10,1,2018,0,1,3281,5020,968,0,8,7336538.8,0,0,3152502,1,73314,3658002030,9,659826,0,0,147947652,0,0,1,73314,240543234,368036280,70967952,0,0,8,586512,5374942596,1849,large,few,4978566.710358566,50215.08181818182,100.07009302452464,1.131578947368421
59972,28,0,1,18,32083,9,8,2021,1,1,8384,7226,226,1,4,6000826.1,0,0,1679216,1,59972,1924081676,8,479776,7,419804,121203412,1,59972,1,59972,502805248,433357672,13553672,1,59972,4,239888,3596640784,784,large,many,4954626.623069207,49761.75,100.06046321616753,1.5555555555555556
71591,20,1,0,58,46834,7,4,1998,0,0,6486,3310,366,0,0,7165980.8,1,71591,1431820,0,0,3352892894,6,429546,3,214773,143038818,0,0,0,0,464339226,236966210,26202306,0,0,0,0,5125271281,400,large,moderate,5069664.609451219,52691.75257731959,100.09611263985697,0.3448275862068966
92462,52,1,1,46,22405,9,6,2019,1,0,9584,8587,677,0,8,9257840.9,1,92462,4808024,1,92462,2071611110,8,739696,5,462310,186680778,1,92462,0,0,886155808,793971194,62596774,0,0,8,739696,8549221444,2704,xlarge,many,4954626.623069207,52544.26373626374,100.12589928835631,1.1304347826086956
52325,60,1,1,24,76804,6,5,1992,1,0,8987,3149,808,1,4,5238533.2,1,52325,3139500,1,52325,4018769300,5,261625,4,209300,104231400,1,52325,0,0,470244775,164771425,42278600,1,52325,4,209300,2737905625,3600,large,moderate,4990101.053989638,54909.31304347826,100.11530243669374,2.5
67311,67,0,0,10,45626,3,3,1990,1,1,6928,7808,774,1,5,6732249.0,0,0,4509837,0,0,3071131686,2,134622,2,134622,133948890,1,67311,1,67311,466330608,525564288,52098714,1,67311,5,336555,4530770721,4489,large,moderate,5026028.922322322,51010.74157303371,100.01707001827339,6.7
45050,99,0,1,87,20318,4,8,2013,1,0,5218,8217,144,0,3,4508695.3,0,0,4459950,1,45050,915325900,3,135150,7,315350,90685650,1,45050,0,0,235070900,370175850,6487200,0,0,3,135150,2029502500,9801,medium,many,4932944.709190809,48754.298969072166,100.08202663706992,1.1379310344827587
61534,73,1,0,97,22943,9,5,2001,0,0,9265,8974,755,1,6,6159875.1,1,61534,4491982,0,0,1411774562,8,492272,4,246136,123129534,0,0,0,0,570112510,552206116,46458170,1,61534,6,369204,3786433156,5329,large,moderate,4954626.623069207,49544.84782608696,100.10522800403028,0.7525773195876289
84091,50,0,1,72,22718,7,5,1993,0,0,2668,4669,766,0,8,8414104.3,0,0,4204550,1,84091,1910379338,6,504546,4,336364,167593363,0,0,0,0,224354788,392620879,64413706,0,0,8,672728,7071296281,2500,xlarge,moderate,5069664.609451219,51185.91588785047,100.05951053025889,0.6944444444444444
77579,69,1,1,97,88798,6,1,1999,1,0,4850,5648,144,1,8,7767797.9,1,77579,5352951,1,77579,6888860042,5,387895,0,0,155080421,1,77579,0,0,376258150,438166192,11171376,1,77579,8,620632,6018501241,4761,xlarge,few,4990101.053989638,48545.50505050505,100.12758478454221,0.711340206185567
25204,31,1,1,37,87552,4,10,2020,1,0,6560,4287,116,0,6,2530488.0,1,25204,781324,1,25204,2206660608,3,75612,9,226836,50912080,1,25204,0,0,165338240,108049548,2923664,0,0,6,151224,635241616,961,medium,many,4932944.709190809,46894.04761904762,100.40025392794794,0.8378378378378378
42059,46,0,1,62,43289,6,3,2017,1,1,8827,1853,860,1,3,4212125.7,0,0,1934714,1,42059,1820692051,5,210295,2,84118,84833003,1,42059,1,42059,371254793,77935327,36170740,1,42059,3,126177,1768959481,2116,medium,moderate,4990101.053989638,51354.06122448979,100.14802301528805,0.7419354838709677
38430,43,0,1,51,3406,6,4,2021,0,1,1214,606,289,0,8,3846214.1,0,0,1652490,1,38430,130892580,5,192150,3,115290,77667030,0,0,1,38430,46654020,23288580,11106270,0,0,8,307440,1476864900,1849,medium,moderate,4990101.053989638,50215.08181818182,100.0836351808483,0.8431372549019608
7069,4,0,0,89,55300,9,2,2009,1,1,7499,8969,493,1,3,709107.9,0,0,28276,0,0,390915700,8,56552,1,7069,14201621,1,7069,1,7069,53010431,63401861,3485017,1,7069,3,21207,49970761,16,small,few,4954626.623069207,46486.458333333336,100.31233554958268,0.0449438202247191
34780,75,0,1,9,67297,4,5,2019,0,1,3033,6475,800,1,4,3480536.9,0,0,2608500,1,34780,2340589660,3,104340,4,139120,70220820,0,0,1,34780,105487740,225200500,27824000,1,34780,4,139120,1209648400,5625,medium,moderate,4932944.709190809,45973.42857142857,100.07294134560092,8.333333333333334
12757,100,1,0,7,19550,7,8,2020,1,1,6795,9983,738,0,5,1277834.0,1,12757,1275700,0,0,249399350,6,76542,7,89299,25769140,1,12757,1,12757,86683815,127353131,9414666,0,0,5,63785,162741049,10000,small,many,5069664.609451219,45976.19298245614,100.16728070863056,14.285714285714286
